,Assurance Logement,possession voiture,Assurance Vie,Assurance Sante,Pondération,ID,Gouvernorat,Delegation
1563,Oui,Non,Non,Non,0.80633,1564,Manouba,Oued Ellil
1564,Non,"Oui, une voiture personelle",Non,Oui,0.80633,1565,Manouba,Djedeida
1565,Non,Non,Non,Non,0.84011,1566,Manouba,Oued Ellil
1566,NSP,Non,Non,Non,0.80633,1567,Manouba,Oued Ellil
1567,NSP,"Oui, une voiture personelle",Non,Non,0.80116,1568,Manouba,Mannouba
1568,Non,Non,Non,Non,0.80633,1569,Manouba,Mornaguia
1569,Oui,"Oui, une voiture personelle",Oui,Non,0.80633,1570,Manouba,Mannouba
1570,Non,Non,Non,Non,0.85107,1571,Manouba,Oued Ellil
1571,Non,Non,Non,Non,0.80633,1572,Manouba,Tebourba
1572,Non,Non,Non,Non,0.84011,1573,Manouba,Douar Hicher
1573,Non,Non,Non,Non,0.84011,1574,Manouba,Douar Hicher
1574,Non,Non,Non,Non,0.89111,1575,Manouba,Djedeida
1575,Non,Non,Non,Non,0.84011,1576,Manouba,Tebourba
1576,Non,Non,Non,Non,0.80116,1577,Manouba,Djedeida
1577,NSP,Non,Non,NSP,0.80633,1578,Manouba,Mannouba
1578,Non,"Oui, une voiture personelle",Non,Non,0.84011,1579,Manouba,Djedeida
1579,NSP,Non,Non,Non,0.8442,1580,Manouba,Oued Ellil
1580,Non,"Oui, une voiture personelle",Non,Non,0.80633,1581,Manouba,Douar Hicher
1581,Non,"Oui, une voiture personelle",Non,Non,0.80116,1582,Manouba,El Battane
1582,Non,Non,Non,Non,0.89111,1583,Manouba,Djedeida
1583,Non,Non,Non,Non,0.80633,1584,Manouba,Douar Hicher
1584,Non,Non,Non,Non,0.80633,1585,Manouba,Douar Hicher
1585,Non,Non,Non,Non,0.80633,1586,Manouba,Djedeida
1586,Non,Non,Non,Non,0.89111,1587,Manouba,Mornaguia
1587,Non,Non,Non,Non,0.8442,1588,Manouba,Tebourba
1588,Oui,"Oui, une voiture personelle",Non,Non,0.89111,1589,Manouba,Mannouba
1589,NSP,Non,Non,Non,0.80633,1590,Manouba,Mannouba
1590,Non,Non,Non,NSP,0.80116,1591,Manouba,Douar Hicher
1591,Non,Non,Non,Non,0.8442,1592,Manouba,Oued Ellil
1592,Non,Non,Non,Non,0.8442,1593,Manouba,Douar Hicher
1593,Non,Non,Non,Non,0.89111,1594,Manouba,Djedeida
1594,Non,"Oui, une voiture personelle",Non,Oui,0.84011,1595,Manouba,Oued Ellil
1595,Non,Non,Non,Non,0.84351,1596,Manouba,Douar Hicher
1596,Oui,"Oui, une voiture personelle",Non,Non,0.80116,1597,Manouba,Mannouba
1597,Non,Non,Non,Non,0.80633,1598,Manouba,Douar Hicher
1598,Non,Non,Non,Non,0.8442,1599,Manouba,Mornaguia
1599,Non,Non,Non,Non,0.80633,1600,Manouba,Tebourba
1600,Non,Non,Non,Non,1.33506,1601,Bizerte,Bizerte Nord
1601,Non,"Oui, une voiture personelle",Non,Non,1.33506,1602,Bizerte,Ras Djebel
1602,Non,Non,Non,Non,1.33506,1603,Bizerte,Bizerte Nord
1603,Non,"Oui, une voiture personelle",Non,Non,1.7997,1604,Bizerte,Tinja
1604,Non,Non,Non,Non,0.92919,1605,Bizerte,Ras Djebel
1605,Non,Non,Non,Non,0.92919,1606,Bizerte,Menzel Bourguiba
1606,Non,Non,Non,Non,1.33506,1607,Bizerte,Menzel Bourguiba
1607,Non,"Oui, une voiture personelle",Non,Non,1.13664,1608,Bizerte,Djoumine
1608,Non,"Oui, une voiture personelle",Non,Non,0.92919,1609,Bizerte,Mateur
1609,Non,Non,Non,Non,0.92919,1610,Bizerte,Mateur
1610,Non,Non,Non,Non,1.33506,1611,Bizerte,Zarzouna
1611,Non,Non,Non,Non,1.33506,1612,Bizerte,El Alia
1612,Non,Non,Non,Non,1.33506,1613,Bizerte,Mateur
1613,Non,Non,Non,Non,1.33506,1614,Bizerte,Ghezala
1614,Non,Non,Non,Non,1.13664,1615,Bizerte,Sedjnane
1615,Non,Non,Non,Non,0.92919,1616,Bizerte,Bizerte Nord
1616,Non,Non,Non,Non,0.92919,1617,Bizerte,Ghar El Meleh
1617,Non,Non,Non,Non,1.33506,1618,Bizerte,Menzel Djemil
1618,Non,Non,Non,Non,1.33506,1619,Bizerte,Menzel Djemil
1619,Non,Non,Non,Non,1.13664,1620,Bizerte,Menzel Djemil
1620,Non,Non,Non,Non,0.92919,1621,Bizerte,Ras Djebel
1621,Non,Non,Non,Non,1.33506,1622,Bizerte,El Alia
1622,Non,Non,Non,Non,1.33506,1623,Bizerte,Mateur
1623,Non,Non,Non,Non,1.13664,1624,Bizerte,Bizerte Nord
1624,Non,Non,Non,Oui,1.33506,1625,Bizerte,Ras Djebel
1625,Non,Non,Non,Non,1.13664,1626,Bizerte,Ghezala
1626,NSP,Non,Non,Non,0.92919,1627,Bizerte,Djoumine
1627,Non,"Oui, une voiture personelle",Non,Non,1.33506,1628,Bizerte,Utique
1628,Non,Non,Non,Non,0.92919,1629,Bizerte,Mateur
1629,Non,Non,Non,Non,1.33506,1630,Bizerte,Djoumine
1630,Non,Non,Non,Non,1.33506,1631,Bizerte,Menzel Djemil
1631,Non,Non,Non,Non,1.33506,1632,Bizerte,Tinja
1632,Non,Non,Non,Non,1.7997,1633,Bizerte,Tinja
1633,Non,Non,Non,Non,1.13664,1634,Bizerte,El Alia
1634,Non,Non,Non,Non,1.13664,1635,Bizerte,Zarzouna
1635,Non,"Oui, une voiture personelle",Non,Non,0.92919,1636,Bizerte,Bizerte Nord
1636,Non,Non,Non,Non,1.7997,1637,Bizerte,Bizerte Sud
1637,Non,"Oui, une voiture personelle",Non,Non,1.7997,1638,Bizerte,Menzel Djemil
1638,NSP,"Oui, une voiture personelle",Non,Non,1.33506,1639,Bizerte,Ghar El Meleh
1639,Non,Non,Non,Non,0.92919,1640,Bizerte,Ras Djebel
1640,Non,Non,Non,Non,0.92919,1641,Bizerte,Tinja
1641,Non,Non,Non,Non,1.33506,1642,Bizerte,Mateur
1642,Non,Non,Non,Non,1.13664,1643,Bizerte,Menzel Bourguiba
1643,Non,Non,Non,Non,1.33506,1644,Bizerte,Bizerte Sud
1644,Non,Non,Non,Non,1.33506,1645,Bizerte,Menzel Djemil
1645,Non,Non,Non,Non,1.13664,1646,Bizerte,El Alia
1646,Non,"Oui, une voiture personelle",Non,Oui,1.7997,1647,Bizerte,Bizerte Nord
1647,NSP,Non,Non,Non,1.33506,1648,Bizerte,Ghezala
1648,Non,Non,Non,Non,1.7997,1649,Bizerte,Menzel Djemil
1649,Non,Non,Non,Oui,1.13664,1650,Bizerte,Menzel Bourguiba
1650,Non,Non,Non,Non,1.7997,1651,Bizerte,Sedjnane
1651,Non,Non,Non,Non,1.13664,1652,Bizerte,Menzel Djemil
1652,Non,Non,Non,Non,1.33506,1653,Bizerte,Sedjnane
1653,Non,Non,Non,Non,1.7997,1654,Bizerte,Bizerte Sud
1654,Non,Non,Non,Non,1.13664,1655,Bizerte,Sedjnane
1655,Non,Non,Non,Non,1.33506,1656,Bizerte,Bizerte Nord
1656,Non,"Oui, une voiture personelle",Oui,Oui,1.13664,1657,Bizerte,Bizerte Nord
1657,Non,Non,Non,Non,0.92919,1658,Bizerte,Zarzouna
1658,NSP,Non,Non,Non,0.92919,1659,Bizerte,Utique
1659,NSP,Non,Non,Non,0.92919,1660,Bizerte,Ghezala
1660,Non,"Oui, une voiture personelle",Non,Non,1.13664,1661,Bizerte,Mateur
1661,Non,Non,Non,Non,1.13664,1662,Bizerte,Bizerte Nord
1662,Non,Non,Non,Non,0.92919,1663,Bizerte,Ghezala
1663,Non,"Oui, une voiture personelle",Non,Non,1.33506,1664,Bizerte,Bizerte Sud
1664,NSP,Non,Non,Non,1.7997,1665,Bizerte,Bizerte Nord
1665,Non,Non,Non,Non,0.92919,1666,Bizerte,Sedjnane
1666,Non,Non,Non,Non,1.33506,1667,Bizerte,Bizerte Sud
1667,Non,Non,Non,Non,0.92919,1668,Bizerte,El Alia
1668,Non,Non,Non,Non,0.92919,1669,Bizerte,Menzel Bourguiba
1669,Non,Non,Non,Non,1.13664,1670,Bizerte,Menzel Bourguiba
1670,Non,"Oui, une voiture personelle",Non,Non,1.13664,1671,Bizerte,Ghar El Meleh
1671,Non,Non,Non,Non,1.7997,1672,Bizerte,Bizerte Sud
1672,NSP,"Oui, une voiture personelle",Non,NSP,1.13664,1673,Bizerte,Ghar El Meleh
1673,Non,Non,Non,Non,0.92919,1674,Bizerte,Ras Djebel
1674,Non,Non,Non,Non,1.13664,1675,Bizerte,Sedjnane
1675,Non,Non,Non,Non,1.13664,1676,Bizerte,Menzel Bourguiba
1676,NSP,Non,Non,Non,1.13664,1677,Bizerte,Ras Djebel
1677,Non,Non,Non,Non,1.13664,1678,Bizerte,Ghezala
1678,Non,Non,Non,Non,1.33506,1679,Bizerte,Djoumine
1679,Oui,"Oui, une voiture personelle",Non,Non,0.92919,1680,Bizerte,Sedjnane
1680,Non,Non,Non,Non,0.92919,1681,Bizerte,Menzel Bourguiba
1681,Non,Non,Non,Non,1.33506,1682,Bizerte,Ras Djebel
1682,NSP,Non,Non,Non,1.13664,1683,Bizerte,Menzel Bourguiba
1683,Non,Non,Non,Non,1.33506,1684,Bizerte,Ras Djebel
1684,Non,Non,Non,Non,1.13664,1685,Bizerte,Bizerte Sud
1685,Non,"Oui, une voiture personelle",Non,Non,0.92919,1686,Bizerte,Ras Djebel
1686,Non,Non,Non,Non,1.13664,1687,Bizerte,Menzel Djemil
1687,Non,Non,Non,Non,1.33506,1688,Bizerte,El Alia
1688,Non,Non,Non,Non,1.13664,1689,Bizerte,Bizerte Sud
1689,Non,Non,Non,Non,0.92919,1690,Bizerte,Bizerte Nord
1690,Non,Non,Non,Non,1.7997,1691,Bizerte,Bizerte Nord
1691,Non,Non,Non,Non,1.13664,1692,Bizerte,Djoumine
1692,NSP,Non,Non,Non,0.92919,1693,Bizerte,Menzel Bourguiba
1693,Non,Non,Non,Non,1.33506,1694,Bizerte,Ras Djebel
1694,Non,Non,Non,Non,1.7997,1695,Bizerte,Utique
1695,Non,Non,Non,Non,1.13664,1696,Bizerte,Ghezala
1696,Non,Non,Non,Non,1.7997,1697,Bizerte,Sedjnane
1697,Non,Non,Non,Non,1.13664,1698,Bizerte,Djoumine
1698,Non,Non,Non,Non,0.92919,1699,Bizerte,Mateur
1699,NSP,Non,Non,Non,1.33506,1700,Bizerte,Utique
1700,Non,Non,Non,Non,1.7997,1701,Bizerte,Menzel Djemil
1701,NSP,Non,Non,Non,1.33506,1702,Bizerte,Bizerte Nord
1702,Non,Non,Non,Non,1.13664,1703,Bizerte,Zarzouna
1703,Non,Non,Non,Non,1.33506,1704,Bizerte,Tinja
1704,Non,Non,Non,Non,1.7997,1705,Bizerte,Bizerte Nord
1705,Non,Non,Oui,Non,1.7997,1706,Bizerte,Ras Djebel
1706,Non,Non,Non,Non,1.13664,1707,Bizerte,Bizerte Nord
1707,Non,Non,Non,Non,0.92919,1708,Bizerte,Mateur
1708,Non,Non,Non,Non,1.33506,1709,Bizerte,Bizerte Nord
1709,Non,"Oui, une voiture personelle",Non,Non,1.33506,1710,Bizerte,Mateur
1710,Oui,Non,Non,Non,1.13664,1711,Bizerte,Utique
1711,NSP,Non,Non,Non,1.7997,1712,Bizerte,Bizerte Sud
1712,Non,Non,Non,Non,1.13664,1713,Bizerte,Menzel Djemil
1713,Non,Non,Non,Non,0.92919,1714,Bizerte,Sedjnane
1714,Non,Non,Non,Non,0.92919,1715,Bizerte,Menzel Djemil
1715,Non,Non,Non,Non,1.13664,1716,Bizerte,Menzel Djemil
1716,Oui,Non,Non,Non,1.13664,1717,Bizerte,Mateur
1717,Non,Non,Non,Non,1.33506,1718,Bizerte,Bizerte Sud
1718,Non,Non,Non,Non,1.13664,1719,Bizerte,Bizerte Sud
1719,Non,Non,Non,Non,1.13664,1720,Bizerte,Ras Djebel
1720,Non,Non,Non,Non,0.92919,1721,Bizerte,Menzel Bourguiba
1721,Non,Non,Non,Non,0.92919,1722,Bizerte,Menzel Djemil
1722,Non,Non,Non,Non,1.13664,1723,Bizerte,Ras Djebel
1723,Non,Non,Non,Non,1.33506,1724,Bizerte,Bizerte Sud
1724,Non,Non,Non,Non,1.33506,1725,Bizerte,Tinja
1725,Non,Non,Non,Non,0.92919,1726,Bizerte,Ghar El Meleh
1726,Non,Non,Non,Non,0.92919,1727,Bizerte,Ghezala
1727,Non,Non,Non,Non,1.33506,1728,Bizerte,Sedjnane
1728,Non,Non,Non,Non,1.13664,1729,Bizerte,Mateur
1729,Non,Non,Non,Oui,1.13664,1730,Bizerte,Menzel Bourguiba
1730,Non,Non,Non,Non,1.33506,1731,Bizerte,Zarzouna
1731,Non,Non,Non,Non,1.7997,1732,Bizerte,Tinja
1732,NSP,Non,Non,Non,1.13664,1733,Bizerte,Bizerte Nord
1733,Non,Non,Oui,Non,1.13664,1734,Bizerte,Bizerte Nord
1734,NSP,Non,Non,Non,1.33506,1735,Bizerte,Ras Djebel
1735,NSP,Non,Non,Non,1.13664,1736,Bizerte,Bizerte Sud
1736,Non,Non,Non,Non,0.92919,1737,Bizerte,Menzel Bourguiba
1737,Non,"Oui, une voiture personelle",Non,Non,1.33506,1738,Bizerte,Bizerte Nord
1738,Non,Non,Non,Non,1.7997,1739,Bizerte,Menzel Bourguiba
1739,Non,"Oui, une voiture personelle",Non,Non,1.7997,1740,Bizerte,Bizerte Nord
1740,Non,"Oui, une voiture personelle",Non,Non,1.13664,1741,Bizerte,Ras Djebel
1741,Non,Non,Non,Non,1.13664,1742,Bizerte,Bizerte Nord
1742,Non,Non,Non,Non,1.13664,1743,Bizerte,Ras Djebel
1743,NSP,Non,Non,Non,1.33506,1744,Bizerte,Menzel Djemil
1744,Non,Non,Non,Non,1.13664,1745,Bizerte,Zarzouna
1745,Oui,"Oui, une voiture personelle",Oui,Non,1.13664,1746,Bizerte,El Alia
1746,NSP,Non,Non,Non,1.13664,1747,Bizerte,Bizerte Nord
1747,Non,Non,Non,Non,0.92919,1748,Bizerte,Bizerte Sud
1748,Non,Non,Non,Non,1.33506,1749,Bizerte,Mateur
1749,Non,Non,Non,Non,1.7997,1750,Bizerte,Sedjnane
1750,Non,Non,Non,Non,1.33506,1751,Bizerte,Bizerte Nord
1751,Non,"Oui, une voiture personelle",Non,Non,1.13664,1752,Bizerte,Bizerte Sud
1752,Non,"Oui, une voiture de fonction",Non,Non,1.13664,1753,Bizerte,Utique
1753,Non,Non,Non,Non,1.13664,1754,Bizerte,Ras Djebel
1754,Non,"Oui, une voiture personelle",Non,Non,1.33506,1755,Bizerte,Bizerte Nord
1755,NSP,"Oui, une voiture personelle",Non,Non,1.13664,1756,Bizerte,Bizerte Nord
1756,Non,Non,Non,Non,1.7997,1757,Bizerte,Menzel Bourguiba
1757,Non,Non,Non,Non,1.7997,1758,Bizerte,El Alia
1758,Non,Non,Non,Non,1.13664,1759,Bizerte,Sedjnane
1759,Non,"Oui, une voiture personelle",Non,Non,1.7997,1760,Bizerte,Bizerte Nord
1760,Non,Non,Non,Non,1.33506,1761,Bizerte,Mateur
1761,Non,"Oui, une voiture personelle",Non,Non,1.7997,1762,Bizerte,Bizerte Nord
1762,Non,Non,Non,Non,1.33506,1763,Bizerte,Ghar El Meleh
1763,Non,Non,Non,Non,1.33506,1764,Bizerte,Zarzouna
1764,Non,Non,Non,Non,1.13664,1765,Bizerte,Tinja
1765,Non,Non,Non,Non,1.33506,1766,Bizerte,Bizerte Nord
1766,Non,Non,Non,Non,0.92919,1767,Bizerte,Bizerte Nord
1767,Non,Non,Non,Non,1.7997,1768,Bizerte,Djoumine
1768,Non,Non,Non,NSP,1.33506,1769,Bizerte,Djoumine
1769,Non,Non,Non,Non,0.92919,1770,Bizerte,El Alia
1770,NSP,Non,Non,Non,1.13664,1771,Bizerte,Tinja
1771,NSP,"Oui, une voiture personelle",Non,Non,0.92919,1772,Bizerte,Zarzouna
1772,Non,Non,Non,Non,0.92919,1773,Bizerte,Mateur
1773,Non,Non,Non,Non,1.33506,1774,Bizerte,Sedjnane
1774,Non,Non,Non,Non,0.92919,1775,Bizerte,Bizerte Nord
1775,Non,Non,Non,Non,1.33506,1776,Bizerte,Menzel Bourguiba
1776,Non,Non,Non,Non,1.7997,1777,Bizerte,Ras Djebel
1777,Non,Non,Non,Non,0.92919,1778,Bizerte,Bizerte Sud
1778,Non,Non,Non,Non,1.33506,1779,Bizerte,Menzel Bourguiba
1779,Non,Non,Non,Non,1.13664,1780,Bizerte,Menzel Bourguiba
1780,Non,Non,Non,Non,0.92919,1781,Bizerte,Menzel Djemil
1781,Non,Non,Non,Non,1.33506,1782,Bizerte,Menzel Bourguiba
1782,Non,Non,Non,Non,1.33506,1783,Bizerte,Bizerte Sud
1783,Non,Non,Non,Non,0.92919,1784,Bizerte,Menzel Djemil
1784,Oui,"Oui, une voiture personelle",Non,Non,1.33506,1785,Bizerte,Menzel Bourguiba
1785,Non,Non,Non,Non,1.33506,1786,Bizerte,Bizerte Nord
1786,Non,Non,Non,Non,1.33506,1787,Bizerte,Ras Djebel
1787,Non,Non,Non,Non,1.33506,1788,Bizerte,Sedjnane
1788,Non,Non,Non,Non,1.13664,1789,Bizerte,Bizerte Sud
1789,Non,Non,Non,Non,1.13664,1790,Bizerte,Mateur
1790,NSP,Non,Non,Non,1.33506,1791,Bizerte,Utique
1791,Non,Non,Oui,Non,0.92919,1792,Bizerte,Djoumine
1792,Non,Non,Non,Non,1.7997,1793,Bizerte,Zarzouna
1793,Non,Refuse de répondre,Non,Non,1.33506,1794,Bizerte,Ghezala
1794,Non,Non,Non,Non,1.33506,1795,Bizerte,Menzel Bourguiba
1795,Non,Non,Non,Non,1.33506,1796,Bizerte,Menzel Bourguiba
1796,Non,"Oui, une voiture personelle",Non,Non,0.92919,1797,Bizerte,Mateur
1797,NSP,Non,Non,Non,1.7997,1798,Bizerte,Djoumine
1798,Non,Non,Non,Non,0.92919,1799,Bizerte,Bizerte Nord
1799,Non,"Oui, une voiture personelle",Non,Non,1.7997,1800,Bizerte,Djoumine
1800,Non,"Oui, une voiture personelle",Non,Oui,0.92919,1801,Bizerte,Bizerte Sud
1801,Non,"Oui, une voiture personelle",Non,Non,1.64053,1802,Bizerte,Sedjnane
1802,Non,"Oui, une voiture personelle",Non,Non,1.31531,1803,Bizerte,Sedjnane
1803,Non,"Oui, une voiture personelle",Non,Oui,1.31531,1804,Bizerte,Ras Djebel
1804,Non,Non,Oui,Oui,1.13948,1805,Bizerte,Ghezala
1805,Non,"Oui, une voiture de fonction",Non,Non,1.31531,1806,Bizerte,Menzel Bourguiba
1806,NSP,Non,Non,Non,1.13948,1807,Bizerte,El Alia
1807,Non,Non,Non,Non,1.31531,1808,Bizerte,Ras Djebel
1808,Non,Non,Non,Oui,1.31531,1809,Bizerte,Menzel Djemil
1809,Non,"Oui, une voiture personelle",Oui,Oui,1.13948,1810,Bizerte,Tinja
1810,Non,Non,Non,Non,1.31531,1811,Bizerte,Ras Djebel
1811,Non,Non,Non,Non,1.09471,1812,Bizerte,Sedjnane
1812,Non,Non,Non,Non,1.13948,1813,Bizerte,Menzel Djemil
1813,Oui,Non,Non,Non,1.64053,1814,Bizerte,Bizerte Nord
1814,Non,Non,Non,Non,1.13948,1815,Bizerte,Bizerte Sud
1815,Non,Non,Non,Non,1.13948,1816,Bizerte,Bizerte Nord
1816,NSP,Non,Non,Non,1.64053,1817,Bizerte,Menzel Bourguiba
1817,Non,"Oui, une voiture personelle",Non,Non,1.64053,1818,Bizerte,Ras Djebel
1818,Non,Non,Non,Non,1.31531,1819,Bizerte,Ras Djebel
1819,Non,"Oui, une voiture personelle",Non,Non,1.13948,1820,Bizerte,Ras Djebel
1820,Non,Non,Non,Non,1.31531,1821,Bizerte,Zarzouna
1821,Non,Non,Non,Non,1.31531,1822,Bizerte,Bizerte Sud
1822,NSP,"Oui, une voiture de fonction",Non,Non,1.31531,1823,Bizerte,Djoumine
1823,Non,Non,Non,Non,1.64053,1824,Bizerte,Menzel Bourguiba
1824,NSP,Non,Non,Non,1.13948,1825,Bizerte,Bizerte Nord
1825,Non,"Oui, une voiture personelle",Non,Non,1.09471,1826,Bizerte,Menzel Djemil
1826,NSP,Non,Non,Oui,1.64053,1827,Bizerte,El Alia
1827,Non,Non,Non,Non,1.13948,1828,Bizerte,Bizerte Sud
1828,Non,Non,Non,Non,1.09471,1829,Bizerte,El Alia
1829,NSP,Non,Non,Non,1.31531,1830,Bizerte,Bizerte Nord
1830,Non,Non,Non,Non,1.09471,1831,Bizerte,Ghezala
1831,Non,Non,Non,Non,1.09471,1832,Bizerte,Bizerte Nord
1832,Non,Non,Non,Non,1.13948,1833,Bizerte,Djoumine
1833,Non,"Oui, une voiture personelle",Non,Non,1.64053,1834,Bizerte,Ghar El Meleh
1834,Non,"Oui, une voiture personelle",Non,Non,1.13948,1835,Bizerte,Zarzouna
1835,Non,Non,Non,Non,1.31531,1836,Bizerte,Bizerte Nord
1836,Non,"Oui, une voiture personelle",Non,Non,1.09471,1837,Bizerte,Djoumine
1837,Non,Non,Non,Non,1.13948,1838,Bizerte,Djoumine
1838,Non,Non,Non,Non,1.09471,1839,Bizerte,Mateur
1839,Non,Non,Non,Non,1.31531,1840,Bizerte,Sedjnane
1840,Non,Non,Non,Non,1.31531,1841,Bizerte,Menzel Djemil
1841,Non,Non,Non,Non,1.13948,1842,Bizerte,Menzel Bourguiba
1842,NSP,Non,Non,Non,1.13948,1843,Bizerte,Menzel Djemil
1843,Non,Non,Non,Non,1.31531,1844,Bizerte,Menzel Bourguiba
1844,Non,Non,Non,Non,1.31531,1845,Bizerte,Ghezala
1845,Non,Non,Non,Non,1.13948,1846,Bizerte,Utique
1846,Non,Non,Non,Non,1.31531,1847,Bizerte,Zarzouna
1847,Non,Non,Non,Non,1.64053,1848,Bizerte,Menzel Bourguiba
1848,Non,Non,Non,Non,1.64053,1849,Bizerte,Bizerte Sud
1849,Non,Non,Non,Non,1.31531,1850,Bizerte,Menzel Bourguiba
1850,Non,"Oui, une voiture personelle",Non,Non,1.09471,1851,Bizerte,Tinja
1851,NSP,"Oui, une voiture personelle",Non,Non,1.64053,1852,Bizerte,Ras Djebel
1852,Non,Non,Non,Non,1.13948,1853,Bizerte,Ghezala
1853,NSP,Non,Non,Non,1.13948,1854,Bizerte,Menzel Bourguiba
1854,Non,Non,Non,Non,1.31531,1855,Bizerte,Menzel Bourguiba
1855,Non,Non,Non,Non,1.31531,1856,Bizerte,Ras Djebel
1856,Non,Non,Non,Oui,1.31531,1857,Bizerte,Bizerte Nord
1857,NSP,Non,Non,Non,1.09471,1858,Bizerte,Menzel Djemil
1858,Non,Non,Non,Non,1.31531,1859,Bizerte,Menzel Bourguiba
1859,Non,"Oui, une voiture personelle",Non,Non,1.13948,1860,Bizerte,Menzel Djemil
1860,Non,"Oui, une voiture personelle",Non,Non,1.09471,1861,Bizerte,El Alia
1861,Non,"Oui, une voiture personelle",Non,Non,1.31531,1862,Bizerte,Bizerte Sud
1862,NSP,Non,Oui,Oui,1.13948,1863,Bizerte,Tinja
1863,NSP,Non,Non,Non,1.64053,1864,Bizerte,Menzel Bourguiba
1864,Non,"Oui, une voiture personelle",Non,Non,1.09471,1865,Bizerte,Ghar El Meleh
1865,Non,Non,Non,Non,1.09471,1866,Bizerte,Bizerte Sud
1866,NSP,Non,Oui,Non,1.09471,1867,Bizerte,Sedjnane
1867,Non,Non,Non,Non,1.31531,1868,Bizerte,Sedjnane
1868,Oui,Non,Non,Non,1.13948,1869,Bizerte,Mateur
1869,Non,Non,Non,Non,1.09471,1870,Bizerte,Bizerte Nord
1870,Non,Non,Non,Non,1.13948,1871,Bizerte,Sedjnane
1871,Non,Non,Non,Non,1.31531,1872,Bizerte,Djoumine
1872,NSP,Non,Non,Non,1.31531,1873,Bizerte,Bizerte Nord
1873,Non,"Oui, une voiture personelle",Non,Non,1.31531,1874,Bizerte,El Alia
1874,Non,Non,Non,Non,1.64053,1875,Bizerte,Ghezala
1875,Non,Non,Non,Non,1.64053,1876,Bizerte,Ghezala
1876,Non,"Oui, une voiture personelle",Non,Non,1.31531,1877,Bizerte,Mateur
1877,NSP,"Oui, une voiture personelle",Non,Non,1.64053,1878,Bizerte,Mateur
1878,NSP,Non,Non,Non,1.31531,1879,Bizerte,Utique
1879,Non,Non,Non,Non,1.09471,1880,Bizerte,Ras Djebel
1880,NSP,Non,Non,Non,1.09471,1881,Bizerte,Mateur
1881,Non,Non,Non,Non,1.13948,1882,Bizerte,Menzel Bourguiba
1882,NSP,Non,Non,Non,1.13948,1883,Bizerte,Sedjnane
1883,Non,Non,Non,Non,1.09471,1884,Bizerte,Mateur
1884,Non,Non,Non,Non,1.31531,1885,Bizerte,Utique
1885,Non,"Oui, une voiture personelle",Non,Non,1.31531,1886,Bizerte,Bizerte Sud
1886,Non,Non,Non,Non,1.13948,1887,Bizerte,Bizerte Nord
1887,Non,Non,Non,Non,1.31531,1888,Bizerte,Bizerte Nord
1888,Non,Non,Non,Non,1.09471,1889,Bizerte,Bizerte Nord
1889,Non,Non,Non,Non,1.13948,1890,Bizerte,Menzel Bourguiba
1890,Non,Non,Non,Non,1.31531,1891,Bizerte,Bizerte Nord
1891,Non,Non,Non,Non,1.31531,1892,Bizerte,Tinja
1892,Oui,Non,Non,Non,1.13948,1893,Bizerte,Ras Djebel
1893,Non,"Oui, une voiture personelle",Non,Non,1.09471,1894,Bizerte,Mateur
1894,Non,Non,Non,Non,1.09471,1895,Bizerte,Bizerte Nord
1895,Non,Non,Non,Non,1.13948,1896,Bizerte,Mateur
1896,Non,Non,Non,Non,1.64053,1897,Bizerte,Bizerte Sud
1897,Non,Non,Non,Non,1.09471,1898,Bizerte,Bizerte Nord
1898,Non,"Oui, une voiture personelle",Non,Non,1.09471,1899,Bizerte,Bizerte Sud
1899,Non,Non,Non,Non,1.13948,1900,Bizerte,Ras Djebel
1900,Non,"Oui, une voiture personelle",Non,Non,1.64053,1901,Bizerte,Tinja
1901,Oui,Non,Non,Non,1.31531,1902,Bizerte,Mateur
1902,Non,Non,Non,Non,1.13948,1903,Bizerte,Bizerte Sud
1903,NSP,Non,Non,Non,1.31531,1904,Bizerte,Ghar El Meleh
1904,NSP,"Oui, une voiture personelle",Non,Oui,1.31531,1905,Bizerte,Bizerte Sud
1905,Oui,"Oui, une voiture personelle",Oui,Oui,1.13948,1906,Bizerte,Mateur
1906,Non,Non,Non,Non,1.13948,1907,Bizerte,Menzel Bourguiba
1907,NSP,Non,Non,Non,1.13948,1908,Bizerte,Utique
1908,Non,Non,Non,Non,1.31531,1909,Bizerte,Utique
1909,Non,Non,Non,Non,1.09471,1910,Bizerte,Zarzouna
1910,Non,Non,Non,Non,1.31531,1911,Bizerte,El Alia
1911,Non,Non,Non,Non,1.64053,1912,Bizerte,Ras Djebel
1912,Non,Non,Non,Non,1.13948,1913,Bizerte,Ras Djebel
1913,Oui,"Oui, une voiture personelle",Non,Non,1.09471,1914,Bizerte,Bizerte Nord
1914,Non,Non,Non,Non,1.64053,1915,Bizerte,Bizerte Nord
1915,NSP,Non,Non,Non,1.13948,1916,Bizerte,Ghar El Meleh
1916,Oui,Non,Non,Non,1.09471,1917,Bizerte,Djoumine
1917,Non,Non,Non,Non,1.13948,1918,Bizerte,Bizerte Nord
1918,Oui,Non,Non,Non,1.13948,1919,Bizerte,Sedjnane
1919,Non,Non,Non,Non,1.31531,1920,Bizerte,Menzel Djemil
1920,NSP,Non,Non,Oui,1.64053,1921,Bizerte,Ras Djebel
1921,Non,Non,Non,Non,1.31531,1922,Bizerte,Ghezala
