agence,banque,lat,long,geometry,index_right,C_DELEG,OBJECTID,LABEL,C_SECT,LABEL_AR,municipalite,circonscription,gouvernorat,CODE_GOUV,Shape__Area,Shape__Length,delegation,Nearest_Biat,Distance_Km,CONCURRENT LE PLUS PROCHE,BIAT LA PLUS PROCHE
atb,atb,35.8339404,10.59207689999994,POINT (10.59207689999994 35.8339404),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.55,bte (0.05Km),Agence Sahloul 2 (0.59Km)
attijari,attijari,35.828888,10.62542299999996,POINT (10.62542299999996 35.828888),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.52,bh (0.2Km),Agence sousse hached (0.72Km)
attijari,attijari,35.840394,10.603885,POINT (10.603885 35.840394),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse sahloul,0.15,biat (0.15Km),Agence Sahloul 2 (0.85Km)
attijari,attijari,35.834811,10.62710500000003,POINT (10.62710500000003 35.834811),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.59,uib (0.39Km),Agence sousse hached (0.42Km)
baraka,baraka,35.837482,10.5961629,POINT (10.5961629 35.837482),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.01,biat (0.01Km),Agence sousse sahloul (0.85Km)
bh,bh,35.8246776,10.6305434,POINT (10.6305434 35.8246776),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.64,amen (0.52Km),Agence sousse hached (0.87Km)
bh,bh,35.831083,10.6253113,POINT (10.6253113 35.831083),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.51,zitouna (0.02Km),Agence sousse hached (0.5Km)
bh,bh,35.84344,10.5936493,POINT (10.5936493 35.84344),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.69,tsb (0.29Km),Agence Sahloul 2 (0.4Km)
bh,bh,35.82776,10.6236341,POINT (10.6236341 35.82776),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.72,attijari (0.2Km),Agence sousse hached (0.52Km)
bna,bna,35.83669399562551,10.59563343664615,POINT (10.59563343664615 35.83669399562551),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.11,amen (0.09Km),Agence Sahloul 2 (0.02Km)
bt,bt,35.83380127,10.59029961,POINT (10.59029961 35.83380127),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.68,bte (0.11Km),Agence Sahloul 2 (0.59Km)
bte,bte,35.833805,10.591542,POINT (10.591542 35.833805),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.59,atb (0.05Km),Agence Sahloul 2 (0.55Km)
btl,btl,35.84109915826522,10.59839487075806,POINT (10.59839487075806 35.84109915826522),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.44,zitouna (0.04Km),Agence Sahloul 2 (0.45Km)
qnb,qnb,35.839386,10.597026,POINT (10.597026 35.839386),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.22,uib (0.09Km),Agence Sahloul 2 (0.3Km)
stb,stb,35.825603,10.60839499999997,POINT (10.60839499999997 35.825603),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse sahloul,1.59,stb (0.0Km),Agence sousse sahloul (1.59Km)
stb,stb,35.825603,10.60839499999997,POINT (10.60839499999997 35.825603),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse sahloul,1.59,stb (0.0Km),Agence sousse sahloul (1.59Km)
tsb,tsb,35.829437,10.620115,POINT (10.620115 35.829437),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.98,bh (0.37Km),Agence sousse hached (0.72Km)
tsb,tsb,35.8410156,10.5948346,POINT (10.5948346 35.8410156),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.4,uib (0.26Km),Agence Sahloul 2 (0.3Km)
ubci,ubci,35.8372758,10.5908036,POINT (10.5908036 35.8372758),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.49,wifak (0.37Km),Agence Sahloul 2 (0.41Km)
ubci,ubci,35.832628,10.630699,POINT (10.630699 35.832628),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.24,qnb (0.2Km),Agence sousse hached (0.19Km)
ubci,ubci,35.850257,10.607278,POINT (10.607278 35.850257),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,BIAT KHEZAMA 16,0.92,uib (0.2Km),BIAT KHEZAMA 16 (0.79Km)
ubci,ubci,35.8252282,10.6036943,POINT (10.6036943 35.8252282),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,1.53,stb (0.43Km),Agence sousse sahloul (1.59Km)
uib,uib,35.831333,10.626364,POINT (10.626364 35.831333),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.42,uib (0.03Km),Agence sousse hached (0.4Km)
uib,uib,35.8312,10.6266,POINT (10.6266 35.8312),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.4,uib (0.03Km),Agence sousse hached (0.42Km)
uib,uib,35.8233,10.5961,POINT (10.5961 35.8233),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,1.59,ubci (0.72Km),Agence Sahloul 2 (1.53Km)
uib,uib,35.8488,10.6085,POINT (10.6085 35.8488),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,BIAT KHEZAMA 16,0.79,ubci (0.2Km),BIAT KHEZAMA 16 (0.92Km)
uib,uib,35.8401,10.5975,POINT (10.5975 35.8401),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.3,qnb (0.09Km),Agence Sahloul 2 (0.22Km)
wifak,wifak,35.8346624,10.5934221,POINT (10.5934221 35.8346624),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.41,atb (0.15Km),Agence Sahloul 2 (0.55Km)
zitouna,zitouna,35.831194,10.62546,POINT (10.62546 35.831194),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse hached,0.5,bh (0.02Km),Agence sousse hached (0.51Km)
zitouna,zitouna,35.839505,10.622395,POINT (10.622395 35.839505),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence sousse corniche,0.75,baraka (0.12Km),Agence sousse corniche (0.64Km)
zitouna,zitouna,35.841323,10.597991,POINT (10.597991 35.841323),127,3153,964,OUED BLIBANE,315351,وادي بليبان,Sousse,Sousse,Sousse,31,0.000239426452083,0.0725596184932387,Sousse Jawhara,Agence Sahloul 2,0.45,btl (0.04Km),Agence Sahloul 2 (0.44Km)
Agence Sousse nord,biat,35.89345169067383,10.59672260284424,POINT (10.59672260284424 35.89345169067383),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Les Jardins d'el Kantaoui,0.14,bna (0.09Km),Agence Les Jardins d'el Kantaoui (0.06Km)
Agence Les Jardins d'el Kantaoui,biat,35.89313507080078,10.59518623352051,POINT (10.59518623352051 35.89313507080078),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Sousse nord,0.14,bna (0.06Km),Agence Les Jardins d'el Kantaoui (0.06Km)
Agence Hammam Sousse-El Menchia,biat,35.86877059936523,10.60438346862793,POINT (10.60438346862793 35.86877059936523),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,1.3,bt (0.31Km),Agence Hammam Sousse-El Menchia (0.31Km)
Agence Hammam Sousse,biat,35.85791397094727,10.59900569915771,POINT (10.59900569915771 35.85791397094727),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse-El Menchia,1.3,attijari (0.03Km),Agence Hammam Sousse (0.03Km)
amen,amen,35.859278,10.597759,POINT (10.597759 35.859278),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.19,zitouna (0.03Km),Agence Hammam Sousse (0.16Km)
atb,atb,35.8566674,10.60063719999994,POINT (10.60063719999994 35.8566674),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.2,ubci (0.06Km),Agence Hammam Sousse (0.15Km)
attijari,attijari,35.858161,10.59923200000003,POINT (10.59923200000003 35.858161),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.03,biat (0.03Km),Agence Hammam Sousse-El Menchia (1.3Km)
attijari,attijari,35.866135,10.607128,POINT (10.607128 35.866135),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse-El Menchia,0.38,btk (0.06Km),Agence Hammam Sousse-El Menchia (0.41Km)
bh,bh,35.8576377,10.5972371,POINT (10.5972371 35.8576377),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.16,biat (0.16Km),Agence Hammam Sousse-El Menchia (1.3Km)
bh,bh,35.89335,10.5931623,POINT (10.5931623 35.89335),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Les Jardins d'el Kantaoui,0.18,biat (0.18Km),Agence Sousse nord (0.14Km)
bna,bna,35.89303104325698,10.59583326121776,POINT (10.59583326121776 35.89303104325698),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Les Jardins d'el Kantaoui,0.06,biat (0.06Km),Agence Sousse nord (0.14Km)
bna,bna,35.86202432054747,10.59348766943424,POINT (10.59348766943424 35.86202432054747),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.68,stb (0.45Km),Agence Hammam Sousse (0.23Km)
bt,bt,35.8666,10.606489999999,POINT (10.606489999999 35.8666),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse-El Menchia,0.31,attijari (0.08Km),Agence Hammam Sousse-El Menchia (0.38Km)
btk,btk,35.8656608,10.6068814,POINT (10.6068814 35.8656608),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse-El Menchia,0.41,attijari (0.06Km),Agence Hammam Sousse-El Menchia (0.38Km)
stb,stb,35.8970637,10.5910993,POINT (10.5910993 35.8970637),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Les Jardins d'el Kantaoui,0.57,bh (0.45Km),Agence Les Jardins d'el Kantaoui (0.18Km)
stb,stb,35.8592494,10.5971181,POINT (10.5971181 35.8592494),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.23,stb (0.0Km),Agence Hammam Sousse (0.23Km)
stb,stb,35.8592494,10.5971181,POINT (10.5971181 35.8592494),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.23,stb (0.0Km),Agence Hammam Sousse (0.23Km)
ubci,ubci,35.856987,10.600154,POINT (10.600154 35.856987),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.15,atb (0.06Km),Agence Hammam Sousse (0.2Km)
zitouna,zitouna,35.859078,10.598012,POINT (10.598012 35.859078),129,3155,974,EL MEDINA,315551,المدينة,Hammam Sousse,Sousse,Sousse,31,0.0001048955617761,0.0531152052627312,Hammam Sousse,Agence Hammam Sousse,0.16,amen (0.03Km),Agence Hammam Sousse (0.19Km)
Agence Sousse el medina,biat,35.82481002807617,10.63952255249023,POINT (10.63952255249023 35.82481002807617),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse belhouane,0.29,amen (0.04Km),Agence Sousse el medina (0.04Km)
Agence sousse corniche,biat,35.83931350708008,10.63071346282959,POINT (10.63071346282959 35.83931350708008),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse hached,0.98,attijari (0.6Km),Agence sousse hached (0.59Km)
Agence sousse belhouane,biat,35.82674407958984,10.64173603057861,POINT (10.64173603057861 35.82674407958984),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence Sousse el medina,0.29,bna (0.03Km),Agence sousse belhouane (0.03Km)
BIAT BAB BHAR 21,biat,35.8295543,10.6408206,POINT (10.6408206 35.8295543),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse belhouane,0.32,attijari (0.06Km),BIAT BAB BHAR 21 (0.06Km)
BIAT KHEZAMA 16,biat,35.8487901,10.6172863,POINT (10.6172863 35.8487901),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse sahloul,1.48,atb (0.12Km),BIAT KHEZAMA 16 (0.12Km)
abc,abc,35.8483504,10.6157438,POINT (10.6157438 35.8483504),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.15,biat (0.15Km),Agence sousse sahloul (1.48Km)
amen,amen,35.824605,10.639849,POINT (10.639849 35.824605),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence Sousse el medina,0.04,biat (0.04Km),Agence sousse belhouane (0.29Km)
amen,amen,35.859092,10.6139,POINT (10.6139 35.859092),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,1.19,qnb (0.34Km),BIAT KHEZAMA 16 (0.85Km)
amen,amen,35.830631,10.6357578,POINT (10.6357578 35.830631),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse hached,0.44,bna (0.06Km),Agence sousse hached (0.38Km)
amen,amen,35.827378,10.641201,POINT (10.641201 35.827378),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse belhouane,0.09,attijari (0.07Km),Agence sousse belhouane (0.06Km)
atb,atb,35.825934,10.64159789999996,POINT (10.64159789999996 35.825934),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse belhouane,0.09,uib (0.03Km),Agence sousse belhouane (0.09Km)
atb,atb,35.8479295,10.61803980000002,POINT (10.61803980000002 35.8479295),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.12,ubci (0.08Km),BIAT KHEZAMA 16 (0.19Km)
attijari,attijari,35.829,10.64065600000004,POINT (10.64065600000004 35.829),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.06,biat (0.06Km),Agence sousse belhouane (0.32Km)
attijari,attijari,35.832271,10.64045199999998,POINT (10.64045199999998 35.832271),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.3,bna (0.04Km),BIAT BAB BHAR 21 (0.34Km)
attijari,attijari,35.843874,10.61712699999998,POINT (10.61712699999998 35.843874),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.55,qnb (0.32Km),BIAT KHEZAMA 16 (0.37Km)
attijari,attijari,35.851552,10.61567,POINT (10.61567 35.851552),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.34,bh (0.12Km),BIAT KHEZAMA 16 (0.38Km)
attijari,attijari,35.826747,10.641031,POINT (10.641031 35.826747),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse belhouane,0.06,biat (0.06Km),Agence Sousse el medina (0.29Km)
baraka,baraka,35.839912,10.623639,POINT (10.623639 35.839912),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse corniche,0.64,zitouna (0.12Km),Agence sousse corniche (0.75Km)
bfpme,bfpme,35.829299,10.636029,POINT (10.636029 35.829299),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.43,ubci (0.12Km),BIAT BAB BHAR 21 (0.31Km)
bh,bh,35.8283384,10.6393196,POINT (10.6393196 35.8283384),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.19,bh (0.07Km),BIAT BAB BHAR 21 (0.26Km)
bh,bh,35.8512629,10.6143642,POINT (10.6143642 35.8512629),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.38,attijari (0.12Km),BIAT KHEZAMA 16 (0.34Km)
bh,bh,35.8277613,10.638955,POINT (10.638955 35.8277613),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.26,bh (0.07Km),BIAT BAB BHAR 21 (0.19Km)
bna,bna,35.83042484487772,10.64037804743259,POINT (10.64037804743259 35.83042484487772),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.1,zitouna (0.08Km),BIAT BAB BHAR 21 (0.18Km)
bna,bna,35.83066840073781,10.63513164659946,POINT (10.63513164659946 35.83066840073781),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse hached,0.38,amen (0.06Km),Agence sousse hached (0.44Km)
bna,bna,35.82646260794538,10.6415689482352,POINT (10.6415689482352 35.82646260794538),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse belhouane,0.03,biat (0.03Km),Agence Sousse el medina (0.29Km)
bna,bna,35.83261682070722,10.64024930139988,POINT (10.64024930139988 35.83261682070722),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.34,btk (0.03Km),BIAT BAB BHAR 21 (0.32Km)
bna,bna,35.82574059834926,10.63865606924503,POINT (10.63865606924503 35.82574059834926),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence Sousse el medina,0.13,biat (0.13Km),Agence sousse belhouane (0.29Km)
bna,bna,35.8448448,10.6205519,POINT (10.6205519 35.8448448),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.53,qnb (0.16Km),BIAT KHEZAMA 16 (0.37Km)
bt,bt,35.82325,10.640125,POINT (10.640125 35.82325),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence Sousse el medina,0.18,bt (0.01Km),Agence Sousse el medina (0.2Km)
bt,bt,35.82312,10.640109,POINT (10.640109 35.82312),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence Sousse el medina,0.2,bt (0.01Km),Agence Sousse el medina (0.18Km)
bt,bt,35.8289697128438,10.6430602142496,POINT (10.6430602142496 35.8289697128438),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.21,biat (0.21Km),Agence sousse belhouane (0.32Km)
bte,bte,35.841362,10.622638,POINT (10.622638 35.841362),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse corniche,0.76,baraka (0.18Km),Agence sousse corniche (0.64Km)
btk,btk,35.832384,10.6399959,POINT (10.6399959 35.832384),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.32,bna (0.03Km),BIAT BAB BHAR 21 (0.34Km)
qnb,qnb,35.856334,10.615593,POINT (10.615593 35.856334),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.85,zitouna (0.26Km),BIAT KHEZAMA 16 (0.6Km)
qnb,qnb,35.831545,10.632474,POINT (10.632474 35.831545),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse hached,0.19,biat (0.19Km),BIAT BAB BHAR 21 (0.9Km)
qnb,qnb,35.84603,10.619484,POINT (10.619484 35.84603),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.37,bna (0.16Km),BIAT KHEZAMA 16 (0.53Km)
stb,stb,35.8345199,10.63582610000003,POINT (10.63582610000003 35.8345199),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,Agence sousse hached,0.63,ubci (0.15Km),BIAT BAB BHAR 21 (0.65Km)
stb,stb,35.8312263,10.64034149999998,POINT (10.64034149999998 35.8312263),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.19,zitouna (0.02Km),BIAT BAB BHAR 21 (0.18Km)
ubci,ubci,35.849996,10.616591,POINT (10.616591 35.849996),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.15,biat (0.15Km),Agence sousse sahloul (1.48Km)
ubci,ubci,35.829179,10.637378,POINT (10.637378 35.829179),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT BAB BHAR 21,0.31,bfpme (0.12Km),BIAT BAB BHAR 21 (0.43Km)
ubci,ubci,35.847253,10.618265,POINT (10.618265 35.847253),125,3151,956,BOU JAAFER,315151,بوجعفر,Sousse,Sousse,Sousse,31,0.0001273462433459,0.0507420545702533,Sousse Medina,BIAT KHEZAMA 16,0.19,atb (0.08Km),BIAT KHEZAMA 16 (0.12Km)
